台帳番号,緯度,経度,エリア,行政区,所在地
G5-08,35.132492114813,137.042274700608,北西地区,蟹甲区,愛歩（蟹甲町中島18）
G5-10,35.13124522924,137.041928315153,北西地区,蟹甲区,日進市蟹甲町中島51(道路上）
G5-11,35.1305993530428,137.042293928614,南西地区,蟹甲区,日進市蟹甲町中屋敷942-3
G5-12,35.1298554179467,137.042767657018,南西地区,蟹甲区,日進市折戸町笠寺山28-226（蟹甲児童遊園前道路上）
G5-13,35.1314567913215,137.043861432779,北西地区,蟹甲区,日進市蟹甲町中島１
G5-2,35.1313278139658,137.037973311731,北西地区,蟹甲区,日進市蟹甲町池下(道路上）
G5-4,35.1321175846623,137.040466468493,北西地区,蟹甲区,日進市蟹甲町中島２６７－１(防災倉庫横）
G5-5,35.1303831661291,137.038214225367,北西地区,蟹甲区,日進市蟹甲町池下無番地（赤道上）
G5-7,35.1310017267414,137.040083259897,北西地区,蟹甲区,日進市蟹甲町池下(道路上）
G5-8,35.1305678349475,137.040927854562,南西地区,蟹甲区,日進市蟹甲町中屋敷462-1(蟹甲集会所(大日堂)敷地内）
G5-9,35.1288366095446,137.039474666467,南西地区,蟹甲区,日進市蟹甲町家布56-31(スポーツセンター敷地内）
G6-01,35.1161181681581,137.041904968123,南西地区,折戸区,内山新聞店（折戸町高松242）
G6-02,35.1280614468744,137.041376204331,南西地区,折戸区,日進市民会館（折戸町笠寺山62-3）
G6-03,35.1232766610752,137.045226765137,南西地区,折戸区,南部福祉会館（折戸町寺脇123-6）
G6-04,35.1213312917731,137.045017022194,南西地区,折戸区,折戸公民館（折戸町前田59-1）
G6-05,35.1254796937344,137.045465212405,南西地区,折戸区,リサイクル自由広場（折戸町笠寺山3-1）
G6-1(住民管理）,35.1137600909533,137.040464061936,南西地区,折戸区,日進市折戸町高松52-272
G6-14,35.1258785934579,137.041480272467,南西地区,折戸区,日進市折戸町笠寺山71-42
G6-15,35.123233256481,137.045903904526,南西地区,折戸区,日進市折戸町中屋敷104-2
G6-16,35.1227189765708,137.04717728442,南東地区,折戸区,日進市折戸町寺脇78-2（寺脇池北側フェンス脇）
G6-17,35.1220200774165,137.049111961288,南東地区,折戸区,日進市折戸町出屋敷139-1
G6-18,35.1218888285975,137.040853748447,南西地区,折戸区,日進市折戸町鎌ケ寿75
G6-19,35.1215673659254,137.045000213734,南西地区,折戸区,日進市折戸町寺脇５８番地
G6-2,35.1259325773827,137.035251136613,南西地区,折戸区,日進市折戸町定納190-27（中央可鍛敷地内）
G6-34,35.1165855458006,137.046791613435,南西地区,折戸区,日進市折戸町高松（南ケ丘歩道橋下）
G6-35,35.1229960472674,137.054302439999,南東地区,折戸区,日進市折戸町梨子ノ木28-469
G6-36,35.1210762527838,137.05900805107,南東地区,折戸区,日進市折戸町梨子ノ木45-1
G6-37,35.1217934487875,137.038439464958,南西地区,折戸区,日進市折戸町鎌ケ寿59-145
G6-38,35.1126481399373,137.048231658763,南西地区,折戸区,日進市折戸町枯木（道路上）
G6-39,35.1128000877547,137.050333932528,南西地区,折戸区,日進市折戸町枯木（道路上）
G6-40,35.1137172876427,137.051433310132,南東地区,折戸区,日進市折戸町枯木（道路上）
G6-41,35.1173823291428,137.043097793655,南西地区,折戸区,日進市折戸町高松（道路上）
G6-42,35.1217946794806,137.043361473122,南西地区,折戸区,日進市折戸町前田５－３
G6-44,35.1152266122759,137.041016484793,南西地区,折戸区,日進市折戸町高松５４－５
G6-45,35.1234016055186,137.04308903287,南西地区,折戸区,日進市折戸町中屋敷109－1
G6-46,35.1281359547433,137.03347443466,南西地区,折戸区,日進市折戸町定納187-3（野方三ッ池公園敷地内）
G6-47,35.127791773153,137.042643391892,南西地区,折戸区,日進市折戸町笠寺山
G6-49,35.1273304801075,137.043508718968,南西地区,折戸区,日進市折戸町笠寺山
G6-50,35.1275962537195,137.04442386167,南西地区,折戸区,日進市折戸町笠寺山
G6-51,35.1158645733036,137.039891756545,南西地区,折戸区,日進市折戸町高松５２－６９３
G6-52,35.1205342936309,137.039807282794,南西地区,折戸区,日進市折戸町鎌ケ寿30-7
G6-53,35.1284039548727,137.043709437188,南西地区,折戸区,日進市折戸町笠寺山
G6-54,35.1195709374316,137.039490605879,南西地区,折戸区,日進市折戸町高松52-681
G6-55,35.1238198299292,137.047632329839,南東地区,折戸区,日進市折戸町寺脇
G6-56,35.1143078771461,137.04130532722,南西地区,折戸区,日進市折戸町高松（道路上）
G6-57,35.1230699317312,137.039145039859,南西地区,折戸区,日進市折戸町鎌ヶ寿61番6
G6-58,35.1132259505528,137.04061068401,南西地区,折戸区,日進市折戸町高松52-771
G6-59,35.1225124422975,137.055601615311,南東地区,折戸区,日進市折戸町梨子ノ木28-107
G7-01,35.1246196312641,137.060885208745,南東地区,藤枝区,日進団地集会所（藤枝町奥廻間1237-133）
G7-02,35.122437052604,137.059986259941,南東地区,藤枝区,撞木団地公園（藤枝町奥廻間1192-98）
G7-03,35.1323032394078,137.050614105501,北東地区,藤枝区,藤枝公民館（藤枝町小六田123-1）
G7-1,35.1323017773166,137.050687627353,北東地区,藤枝区,日進市藤枝町小六田124-4（藤枝公民館敷地内）
G7-1（住民管理）,35.1195976726405,137.061977320796,南東地区,藤枝区,日進市藤枝町奥廻間（道路上）
G7-10,35.1244533717896,137.061782827653,南東地区,藤枝区,日進市藤枝町奥廻間1237-111（防火水槽敷地内）
G7-11,35.1240482473724,137.062922569288,南東地区,藤枝区,日進市藤枝町奥廻間1237-124（道路上）
G7-12,35.1236765117617,137.062111555534,南東地区,藤枝区,日進市藤枝町奥廻間（道路上）
G7-13,35.1232493461822,137.062046270064,南東地区,藤枝区,日進市藤枝町奥廻間（道路上）
G7-14,35.123226884338,137.062132647523,南東地区,藤枝区,日進市藤枝町奥廻間（道路上）
G7-15,35.123097285248,137.061127131683,南東地区,藤枝区,日進市藤枝町奥廻間1238-250
G7-17,35.1223712780401,137.061155278122,南東地区,藤枝区,日進市藤枝町奥廻間1192-2（道路上）
G7-18,35.123047911542,137.06012645191,南東地区,藤枝区,日進市藤枝町奥廻間1192-2（道路上）
G7-19,35.1226714837164,137.059841565262,南東地区,藤枝区,日進市藤枝町奥廻間1192-98（藤枝奥廻間南ちびっこ広場敷地内）
G7-2,35.1316869056015,137.048921294569,北東地区,藤枝区,日進市藤枝町康申566-1
G7-20,35.1224675255717,137.059683728146,南東地区,藤枝区,日進市藤枝町奥廻間1192-2
G7-22,35.1229110759106,137.059825123845,南東地区,藤枝区,日進市藤枝町奥廻間（道路上）
G7-24,35.1216789941106,137.063816254106,南東地区,藤枝区,日進市藤枝町奥廻間（名鉄豊田線沿い道路上）
G7-25,35.1213419063367,137.065382000672,南東地区,藤枝区,日進市藤枝町奥廻間（道路上）
G7-26,35.1192786740034,137.062531233806,南東地区,藤枝区,日進市藤枝町奥廻間（道路上）
G7-27,35.1260835747378,137.061277878695,南東地区,藤枝区,日進市藤枝町奥廻間（道路上）
G7-3,35.1315763317044,137.048678621174,南東地区,藤枝区,日進市藤枝町小六田567-1
G7-30,35.1316163901429,137.047515424453,北東地区,藤枝区,日進市蟹甲町浅間下571-1（用悪水路上）
G7-31,35.1327888875974,137.054189242261,北東地区,藤枝区,日進市藤枝町小六田242
G7-32,35.1318196320168,137.054272433978,南東地区,藤枝区,日進市藤枝町前田２
G7-33,35.1333780487691,137.050809550216,北東地区,藤枝区,日進市藤枝町小六田133-24
G7-34,35.130258578782,137.053780801712,南東地区,藤枝区,日進市藤枝町前田
G7-4,35.1312668475753,137.051095313868,南東地区,藤枝区,日進市藤枝町前田53-8
G7-5,35.1298735931704,137.051223688731,南東地区,藤枝区,日進市藤枝町向田812-1
G7-6,35.1282234625182,137.053015311847,南東地区,藤枝区,日進市藤枝町平子934-2
G7-7,35.1290176319944,137.057815076941,南東地区,藤枝区,日進市藤枝町片平1250-2(集中浄化槽用地）
G7-8,35.1254551360288,137.061030716867,南東地区,藤枝区,日進市藤枝町奥廻間（道路上）
G7-9,35.1247200384052,137.061074896006,南東地区,藤枝区,日進市藤枝町奥廻間1237-133（藤枝奥廻間北ちびっこ広場敷地内）
G8-01,35.1332180231551,137.060431868427,北東地区,米野木区,東部保育園駐車場横（米野木町仲田35-14）
G8-02,35.1331811208494,137.057054359202,北東地区,米野木区,いわなべ新聞店（米野木町追鳥48-4）
G8-03,35.1376511751539,137.074750128451,北東地区,米野木区,高木新聞店（米野木町柿ノ木島61-5）
G8-04,35.1325994238221,137.060201248324,北東地区,米野木区,米野木郵便局（米野木町家下31-5）
G8-05,35.1328513960857,137.061562252573,北東地区,米野木区,東部福祉会館（米野木町仲田35-23）
G8-06,35.1274337251673,137.062578788603,南東地区,米野木区,日の出衛生保繕㈱（日進市米野木町奥畑55）
G8-07,35.1298973459625,137.071163500538,南東地区,米野木区,南山ビレッヂ（米野木町細口145）
G8-08,35.1258496153613,137.06301793799,南東地区,米野木区,米野木7号公園（三角公園）（米野木町南山51-1）
G8-09,35.123392346874,137.065371453015,南東地区,米野木区,米野木3号公園（ﾚｰｳﾞ日進裏）（米野木町南山162-1）
G8-1,35.1466818870244,137.093938933336,南東地区,三本木区,日進市米野木町三ケ峯４－３１９
